id	rate	linear	gaussian	random	outliers	bigGap	range350	range750up	gamma2.2	gamma.45	area_land_m	area_water_m	area_total_sqkm	FIPS
5137	0.066	1770	2.1	2365	76	91	307	863	3511.892277	1296.328655	1570579416	7842206	1578	5
5139	0.095	1780	0.5	1836	99	56	168	770	3555.690939	1299.652582	2691561503	41401574	2733	5
5141	0.091	1790	0.31	1957	54	15	312	894	3599.785872	1302.966338	1834082331	41805702	1876	5
5143	0.05	1800	-1	2089	51	149	96	941	3644.177407	1306.270012	2439770216	26958670	2467	5
5145	0.067	1810	0.9	1916	12	97	328	876	3688.865874	1309.56369	2680817964	18326633	2699	5
5147	0.091	1820	-0.22	4717	80	2	270	970	3733.851604	1312.847457	1519723135	18704002	1538	5
5149	0.064	1830	-0.31	1928	22	78	288	970	3779.134923	1316.121397	2408647168	48880275	2458	5
6001	0.113	1840	1.3	3204	93	11	220	824	3824.716158	1319.385594	1914045014	213179510	2127	6
6003	0.152	1850	-1.3	5010	2	56	345	893	3870.595635	1322.640128	1912243146	12557256	1925	6
6005	0.121	1860	1.4	5036	31	12	154	796	3916.773676	1325.88508	1539947370	29470575	1569	6
6007	0.122	1870	-0.85	2586	57	79	344	870	3963.250603	1329.120531	4238422630	105325735	4344	6
6009	0.143	1880	0.97	1239	83	135	180	857	4010.026738	1332.346558	2641819979	43808748	2686	6
6011	0.145	1890	-1.3	3048	85	115	113	798	4057.102399	1335.563238	2980373007	14581043	2995	6
6013	0.112	1900	0.63	655	35	115	164	933	4104.477905	1338.770649	1871893961	209855220	2082	6
6015	0.119	1910	0.58	7131	20	65	188	878	4152.153571	1341.968864	2606517997	578525673	3185	6
6017	0.112	1920	-2.1	7903	35	101	106	951	4200.129715	1345.15796	4423442610	203356282	4627	6
6019	0.141	1930	0.064	689	72	139	289	762	4248.406649	1348.338008	15433281557	135402342	15569	6
6021	0.138	1940	-1.4	1538	39	100	193	837	4296.984685	1351.509081	3403106641	33749284	3437	6
6023	0.103	1950	0.13	2386	38	48	147	987	4345.864137	1354.671251	9241033392	1254256580	10495	6
6025	0.301	1960	0.67	5146	80	43	174	770	4395.045313	1357.824588	10817387352	790204642	11608	6
6027	0.095	1970	-0.21	5170	79	102	228	790	4444.528522	1360.969162	26368506526	119060126	26488	6
6029	0.139	1980	-2.2	3296	3	143	234	799	4494.314072	1364.105041	21061727156	79488696	21141	6
6031	0.139	1990	0.62	4457	2	51	240	866	4544.40227	1367.232293	3598582248	5468555	3604	6
6033	0.147	2000	-1.5	5770	92	127	297	930	4594.79342	1370.350985	3254241507	188959508	3443	6
6035	0.118	2010	0.88	7200	33	53	59	875	4645.487826	1373.461183	11761622226	463440332	12225	6
6037	0.127	2020	2	240	38	53	340	864	4696.485791	1376.562952	10510356737	1794815646	12305	6
6039	0.123	2030	2.3	3081	7	20	50	948	4747.787617	1379.656357	5535058233	41957135	5577	6
6041	0.08	2040	-0.62	1076	1	99	286	948	4799.393603	1382.741461	1348041346	796972744	2145	6
6043	0.088	2050	-0.89	4827	47	131	121	962	4851.304049	1385.818327	3752425637	36268140	3789	6
6045	0.101	2060	0.53	7843	32	130	193	826	4903.519253	1388.887017	9081415546	962953371	10044	6
6047	0.157	2070	0.49	1600	17	25	169	969	4956.039511	1391.947593	5011530566	112781256	5124	6
6049	0.111	2080	0.65	8786	17	145	217	879	5008.865118	1395.000114	10140841147	745929078	10887	6
6051	0.103	2090	-1.2	993	74	142	13	776	5061.996371	1398.044641	7896722216	214695416	8111	6
6053	0.1	2100	0.55	6408	55	150	139	947	5115.433561	1401.081233	8496777451	1270701096	9767	6
6055	0.087	2110	0.84	1999	36	7	286	916	5169.176981	1404.109947	1938253730	104163348	2042	6
6057	0.109	2120	-2	7159	76	92	220	832	5223.226922	1407.130842	2480636840	41514869	2522	6
6059	0.094	2130	1.7	5387	11	94	18	784	5277.583674	1410.143975	2047743987	407762759	2456	6
6061	0.113	2140	-1.7	8555	37	77	185	891	5332.247525	1413.149401	3643636599	247086378	3891	6
6063	0.139	2150	-0.49	1997	88	49	111	977	5387.218765	1416.147177	6612362439	156394202	6769	6
6065	0.147	2160	-0.87	2455	29	63	162	832	5442.497679	1419.137357	18664304366	250955854	18915	6
6067	0.122	2170	1.4	4300	100	82	111	918	5498.084554	1422.119995	2499176682	76080696	2575	6
6069	0.125	2180	-0.4	5770	24	133	165	824	5553.979673	1425.095146	3596741909	4555000	3601	6
6071	0.136	2190	-0.77	2843	76	21	139	979	5610.18332	1428.062861	51947708827	123929659	52072	6
6073	0.102	2200	0.49	4917	59	3	104	781	5666.695779	1431.023195	10895213672	826296339	11722	6
6075	0.097	2210	0.87	8428	59	100	160	908	5723.51733	1433.976198	121450198	479141104	601	6
6077	0.155	2220	-0.76	984	51	122	50	761	5780.648253	1436.921921	3603645870	91127736	3695	6
6079	0.09	2230	1.7	5999	70	150	231	789	5838.088829	1439.860416	8543653416	820437991	9364	6
6081	0.09	2240	0.71	6844	88	33	120	944	5895.839336	1442.791731	1161514971	757561040	1919	6
6083	0.085	2250	0.13	939	85	78	100	913	5953.900052	1445.715918	7083926264	2729818040	9814	6
6085	0.118	2260	-1.2	3475	62	58	340	756	6012.271252	1448.633024	3341727320	35844480	3378	6
6087	0.102	2270	-1.2	5622	54	4	75	839	6070.953212	1451.543098	1152864628	419570859	1572	6
6089	0.147	2280	-0.27	8263	92	145	1	780	6129.946207	1454.446188	9778188422	186530228	9965	6
6091	0.137	2290	1.6	9210	76	122	118	842	6189.25051	1457.342341	2468686351	23299112	2492	6
6093	0.135	2300	0.45	2259	13	89	313	763	6248.866395	1460.231604	16259635719	179864658	16440	6
6095	0.115	2310	-2.2	8657	65	5	158	843	6308.794132	1463.114023	2128362628	218664495	2347	6
6097	0.099	2320	0.11	4368	94	18	130	848	6369.033992	1465.989643	4081401368	497545779	4579	6
6099	0.153	2330	1.4	6152	63	84	218	849	6429.586246	1468.858511	3870792977	51176485	3922	6
6101	0.151	2340	1.2	2500	27	32	91	878	6490.451161	1471.720671	1560237061	15745769	1576	6
6103	0.137	2350	1.5	3996	93	129	271	976	6551.629006	1474.576166	7639716084	32276053	7672	6
6105	0.159	2360	-0.67	2861	86	33	285	910	6613.120048	1477.425042	8234308383	73407838	8308	6
6107	0.149	2370	0.58	9438	89	140	278	975	6674.924553	1480.26734	12494776154	37391591	12532	6
6109	0.127	2380	-1.7	1897	19	51	125	891	6737.042786	1483.103105	5752116634	138684399	5891	6
6111	0.11	2390	-0.16	1044	87	106	232	879	6799.475012	1485.932378	4773381220	945947857	5719	6
6113	0.109	2400	-1.3	5819	45	73	322	763	6862.221493	1488.755201	2628192726	22761621	2651	6
6115	0.178	2410	-1.1	1686	13	96	274	769	6925.282493	1491.571616	1636965279	31004637	1668	6
8001	0.081	2420	-0.31	5645	76	28	136	923	6988.658273	1494.381663	3023994956	41935475	3066	8
8003	0.055	2430	0.049	4618	53	110	339	877	7052.349094	1497.185385	1871620087	1847609	1873	8
8005	0.069	2440	-0.31	4678	96	77	217	962	7116.355216	1499.982819	2066561712	19528620	2086	8
8007	0.062	2450	-0.52	7583	93	71	49	808	7180.676897	1502.774007	3496919116	13827548	3511	8
8009	0.034	2460	0.029	375	54	64	321	789	7245.314397	1505.558988	6617316162	6142193	6623	8
8011	0.05	2470	1.9	3087	19	9	147	929	7310.267972	1508.337801	3918310167	73093675	3991	8
8013	0.055	2480	-0.14	1728	17	24	210	826	7375.53788	1511.110484	1881225057	36604910	1918	8
8014	0.066	2490	0.38	4265	85	12	46	768	7441.124375	1513.877075	85424444	1464123	87	8
8015	0.051	2500	-1.6	3772	7	125	310	857	7507.027712	1516.637612	2624702236	4013482	2629	8
8017	0.02	2510	0.57	6717	18	6	99	822	7573.248147	1519.392133	4605714106	8166137	4614	8
8019	0.07	2520	-0.39	5479	81	19	27	761	7639.785932	1522.140674	1023554450	3280077	1027	8
8021	0.051	2530	-0.38	1538	26	116	267	896	7706.641319	1524.883273	3334117168	9235291	3343	8
8023	0.084	2540	1.6	998	57	105	143	783	7773.81456	1527.619965	3177804546	8828904	3187	8
8025	0.076	2550	0.76	6195	24	74	231	929	7841.305906	1530.350787	2039409768	33430385	2073	8
8027	0.052	2560	0.92	9288	6	92	156	962	7909.115608	1533.075773	1913033447	3364740	1916	8
8029	0.066	2570	-0.11	4749	65	14	190	817	7977.243914	1535.794959	2957922897	16953425	2975	8
8031	0.077	2580	0.69	7536	58	21	241	774	8045.691073	1538.508381	396323002	4208558	401	8
8033	0.132	2590	-1.2	1923	69	136	0	965	8114.457332	1541.216072	2763640274	2716141	2766	8
8035	0.059	2600	0.45	3246	71	82	205	818	8183.54294	1543.918066	2176207187	6761855	2183	8
8037	0.062	2610	2.2	3248	46	81	325	878	8252.948141	1546.614398	4362873878	18844075	4382	8
8039	0.06	2620	1.2	4578	65	102	114	870	8322.673182	1549.3051	4793697029	442148	4794	8
8041	0.072	2630	0.22	3739	88	75	255	848	8392.718306	1551.990207	5508486360	7111547	5516	8
8043	0.077	2640	-1.5	6835	35	146	288	803	8463.083759	1554.669751	3970640039	2235391	3973	8
8045	0.058	2650	1.5	4799	57	85	163	773	8533.769783	1557.343764	7634453533	21430768	7656	8
8047	0.06	2660	-1.2	7308	68	73	20	943	8604.776621	1560.012279	388229134	941898	389	8
8049	0.058	2670	0.26	4863	77	27	239	789	8676.104515	1562.675327	4781889775	60250178	4842	8
8051	0.044	2680	-0.21	9922	54	137	141	886	8747.753705	1565.332941	8389606683	53067063	8443	8
8053	0.022	2690	-0.7	9989	72	10	35	945	8819.724432	1567.985151	2893576418	15324680	2909	8
8055	0.072	2700	0.62	7589	26	94	94	960	8892.016935	1570.631988	4120807961	5792107	4127	8
8057	0.033	2710	-0.12	6385	44	118	91	902	8964.631454	1573.273484	4179536135	18750017	4198	8
